gameId|platformId|lastUpdate
1856|3|E'2020-11-29 19:18:57'
1856|8|E'2020-11-29 19:18:57'
1856|6|E'2020-11-29 19:18:57'
1857|5|E'2020-11-29 19:18:57'
1857|7|E'2020-11-29 19:18:57'
1857|3|E'2020-11-29 19:18:57'
1858|5|E'2020-11-29 19:18:57'
1858|7|E'2020-11-29 19:18:57'
1858|3|E'2020-11-29 19:18:57'
1859|5|E'2020-11-29 19:18:57'
1859|7|E'2020-11-29 19:18:57'
1859|3|E'2020-11-29 19:18:57'
1859|6|E'2020-11-29 19:18:57'
1860|2|E'2020-11-29 19:18:57'
1860|1|E'2020-11-29 19:18:57'
1860|5|E'2020-11-29 19:18:57'
1860|7|E'2020-11-29 19:18:57'
1860|3|E'2020-11-29 19:18:57'
1860|6|E'2020-11-29 19:18:57'
1861|7|E'2020-11-29 19:18:57'
1862|7|E'2020-11-29 19:18:57'
1862|3|E'2020-11-29 19:18:57'
1863|7|E'2020-11-29 19:18:57'
1863|3|E'2020-11-29 19:18:57'
1864|5|E'2020-11-29 19:18:57'
1864|7|E'2020-11-29 19:18:57'
1864|3|E'2020-11-29 19:18:57'
1865|6|E'2020-11-29 19:18:57'
1865|7|E'2020-11-29 19:18:57'
1865|3|E'2020-11-29 19:18:57'
1866|5|E'2020-11-29 19:18:57'
1866|7|E'2020-11-29 19:18:57'
1867|7|E'2020-11-29 19:18:57'
1868|7|E'2020-11-29 19:18:57'
1869|5|E'2020-11-29 19:18:57'
1869|7|E'2020-11-29 19:18:57'
1869|3|E'2020-11-29 19:18:57'
1869|6|E'2020-11-29 19:18:57'
1870|7|E'2020-11-29 19:18:57'
1871|7|E'2020-11-29 19:18:57'
1871|3|E'2020-11-29 19:18:57'
1872|7|E'2020-11-29 19:18:57'
1873|7|E'2020-11-29 19:18:57'
1873|3|E'2020-11-29 19:18:57'
1874|5|E'2020-11-29 19:18:57'
1874|7|E'2020-11-29 19:18:57'
1874|3|E'2020-11-29 19:18:57'
1874|6|E'2020-11-29 19:18:57'
1875|7|E'2020-11-29 19:18:57'
1875|3|E'2020-11-29 19:18:57'
1876|7|E'2020-11-29 19:18:57'
1877|7|E'2020-11-29 19:18:57'
1878|5|E'2020-11-29 19:18:57'
1878|7|E'2020-11-29 19:18:57'
1878|3|E'2020-11-29 19:18:57'
1878|6|E'2020-11-29 19:18:57'
1879|11|E'2020-11-29 19:18:57'
1879|4|E'2020-11-29 19:18:57'
1879|5|E'2020-11-29 19:18:57'
1879|7|E'2020-11-29 19:18:57'
1879|3|E'2020-11-29 19:18:57'
1879|9|E'2020-11-29 19:18:57'
1880|7|E'2020-11-29 19:18:57'
1881|7|E'2020-11-29 19:18:57'
1882|7|E'2020-11-29 19:18:57'
1882|3|E'2020-11-29 19:18:57'
1883|4|E'2020-11-29 19:18:57'
1883|5|E'2020-11-29 19:18:57'
1883|7|E'2020-11-29 19:18:57'
1883|3|E'2020-11-29 19:18:57'
1883|6|E'2020-11-29 19:18:57'
1884|11|E'2020-11-29 19:18:57'
1884|5|E'2020-11-29 19:18:57'
1884|7|E'2020-11-29 19:18:57'
1884|3|E'2020-11-29 19:18:57'
1885|7|E'2020-11-29 19:18:57'
1885|3|E'2020-11-29 19:18:57'
1886|11|E'2020-11-29 19:18:57'
1886|5|E'2020-11-29 19:18:57'
1886|7|E'2020-11-29 19:18:57'
1886|6|E'2020-11-29 19:18:57'
1887|5|E'2020-11-29 19:18:57'
1887|7|E'2020-11-29 19:18:57'
1887|3|E'2020-11-29 19:18:57'
1887|6|E'2020-11-29 19:18:57'
1888|5|E'2020-11-29 19:18:57'
1888|7|E'2020-11-29 19:18:57'
1888|3|E'2020-11-29 19:18:57'
1888|6|E'2020-11-29 19:18:57'
1889|7|E'2020-11-29 19:18:57'
1890|7|E'2020-11-29 19:18:57'
1891|5|E'2020-11-29 19:18:57'
1891|7|E'2020-11-29 19:18:57'
1892|5|E'2020-11-29 19:18:57'
1892|7|E'2020-11-29 19:18:57'
1892|3|E'2020-11-29 19:18:57'
1892|6|E'2020-11-29 19:18:57'
1893|5|E'2020-11-29 19:18:57'
1893|7|E'2020-11-29 19:18:57'
1893|3|E'2020-11-29 19:18:57'
1893|6|E'2020-11-29 19:18:57'
1894|7|E'2020-11-29 19:18:57'
1895|4|E'2020-11-29 19:18:57'
1895|7|E'2020-11-29 19:18:57'
1896|7|E'2020-11-29 19:18:57'
1897|5|E'2020-11-29 19:18:57'
1897|7|E'2020-11-29 19:18:57'
1897|3|E'2020-11-29 19:18:57'
1898|5|E'2020-11-29 19:18:57'
1898|8|E'2020-11-29 19:18:57'
1898|7|E'2020-11-29 19:18:57'
1898|3|E'2020-11-29 19:18:57'
1898|9|E'2020-11-29 19:18:57'
1898|6|E'2020-11-29 19:18:57'
1899|4|E'2020-11-29 19:18:57'
1899|7|E'2020-11-29 19:18:57'
1899|3|E'2020-11-29 19:18:57'
1900|4|E'2020-11-29 19:18:57'
1900|5|E'2020-11-29 19:18:57'
1900|7|E'2020-11-29 19:18:57'
1900|3|E'2020-11-29 19:18:57'
1900|6|E'2020-11-29 19:18:57'
1901|7|E'2020-11-29 19:18:57'
1902|7|E'2020-11-29 19:18:57'
1902|3|E'2020-11-29 19:18:57'
1903|5|E'2020-11-29 19:18:57'
1903|7|E'2020-11-29 19:18:57'
1904|5|E'2020-11-29 19:18:57'
1904|7|E'2020-11-29 19:18:57'
1905|7|E'2020-11-29 19:18:57'
1906|7|E'2020-11-29 19:18:57'
1906|3|E'2020-11-29 19:18:57'
1907|4|E'2020-11-29 19:18:57'
1907|7|E'2020-11-29 19:18:57'
1907|3|E'2020-11-29 19:18:57'
1908|7|E'2020-11-29 19:18:57'
1908|3|E'2020-11-29 19:18:57'
1909|4|E'2020-11-29 19:18:57'
1909|5|E'2020-11-29 19:18:57'
1909|7|E'2020-11-29 19:18:57'
1909|3|E'2020-11-29 19:18:57'
1910|4|E'2020-11-29 19:18:57'
1910|7|E'2020-11-29 19:18:57'
1910|3|E'2020-11-29 19:18:57'
1911|5|E'2020-11-29 19:18:57'
1911|7|E'2020-11-29 19:18:57'
1911|3|E'2020-11-29 19:18:57'
1911|6|E'2020-11-29 19:18:57'
1912|5|E'2020-11-29 19:18:57'
1912|7|E'2020-11-29 19:18:57'
1912|3|E'2020-11-29 19:18:57'
1912|6|E'2020-11-29 19:18:57'
1913|4|E'2020-11-29 19:18:57'
1913|7|E'2020-11-29 19:18:57'
1913|3|E'2020-11-29 19:18:57'
1914|7|E'2020-11-29 19:18:57'
1915|7|E'2020-11-29 19:18:57'
1916|7|E'2020-11-29 19:18:57'
